doc_id,issue_type,field,governing_law,payment_net_days,payment_amount,details,quote
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.txt,AMBIGUOUS,termination_clause,Massachusetts,,,"{""reason"": ""Ambiguous language detected"", ""span"": {""start"": 12252, ""end"": 13063}}","TERMINATION AND DEFAULT. a) TERMINATION FOR BREACH. Either Party shall have the right, without prejudice to any other rights it may have, to terminate this Agreement if the other Party materially breaches its obligation hereunder and such breach remains uncured. A material breach occurs if either Party (i) fails to make any payment, or (ii) fails to observe or perform any of the covenants, agreeme…"
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.txt,MISSING,payment_terms,Massachusetts,,,{},
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT.txt,AMBIGUOUS,termination_clause,United Kingdom,,,"{""reason"": ""Ambiguous language detected"", ""span"": {""start"": 5999, ""end"": 6810}}","termination of your employment to the Company) on 31 December of the year to which your bonus entitlement applies. 2 4.5 Equity Incentives BTL has established the Bicycle Therapeutics 2019 Share Option Plan (the ""Option Plan""). On or as soon as practicable following the Effective Date, it is intended that you will be granted an option under the Option Plan to acquire 107,417 ordinary shares in the…"
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT.txt,MISSING,payment_terms,United Kingdom,,,{},
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1).txt,MISSING,governing_law,,,,{},
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment.txt,MISSING,payment_terms,France,,,{},
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment.txt,MISSING,termination_clause,France,,,{},
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT.txt,AMBIGUOUS,termination_clause,California,,,"{""reason"": ""Ambiguous language detected"", ""span"": {""start"": 21956, ""end"": 22767}}","termination or expiration of this Agreement for at least twelve (12) months following the effective date of such termination or expiration. 3.4 Biocept Responsibilities. Biocept shall use commercially reasonable efforts to promote the sale of the Tests in the Territory, using at least the same sales channels and methods and adhering to at least the same standards that it generally employs with res…"
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT.txt,MISSING,payment_terms,California,,,{},
BIOFRONTERAAG_04_29_2019-EX-4.17-SUPPLY AGREEMENT.txt,AMBIGUOUS,payment_terms,,,,"{""reason"": ""Ambiguous language detected"", ""span"": {""start"": 61949, ""end"": 62549}}","payment terms shall be [***] following the date that the Products are received and accepted (as per Article 4.4 of the LSA) by the Company, by wire transfer into an account designated by Ferrer. Invoices shall be generated upon shipment of Product from Supplier. Invoices should be sent by email to the following address: invoice@cutanea.com. Failure to send invoices to the email address provided he…"
BIOFRONTERAAG_04_29_2019-EX-4.17-SUPPLY AGREEMENT.txt,MISSING,governing_law,,,,{},
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.txt,MISSING,payment_terms,,,,{},
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.txt,MISSING,governing_law,,,,{},
BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT.txt,MISSING,payment_terms,the State of Texas,,,{},
BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGREEMENT.txt,MISSING,payment_terms,,,,{},
BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGREEMENT.txt,MISSING,termination_clause,,,,{},
BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGREEMENT.txt,MISSING,governing_law,,,,{},
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT.txt,MISSING,payment_terms,Delaware,,,{},
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement.txt,MISSING,payment_terms,Delaware,,,{},
BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement.txt,MISSING,payment_terms,,,,{},
BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement.txt,MISSING,governing_law,,,,{},
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT.txt",MISSING,payment_terms,Illinois,,,{},
"BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT.txt",MISSING,payment_terms,Washington,,,{},
BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT.txt,MISSING,payment_terms,California,,,{},
BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT.txt,MISSING,payment_terms,the State of Oklahoma without regard to conflict of laws,,,{},
BOLIVARMININGCORP_05_23_2003-EX-2.1-VISP WEB SITE BUILDING AND HOSTING AGREEMENT.txt,MISSING,payment_terms,the state of New York,,,{},
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT.txt,MISSING,payment_terms,,,,{},
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT.txt,MISSING,governing_law,,,,{},
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT.txt",MISSING,payment_terms,,,,{},
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT.txt",MISSING,governing_law,,,,{},
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT.txt,MISSING,payment_terms,,,,{},
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT.txt,MISSING,governing_law,,,,{},
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement.txt",MISSING,payment_terms,Texas,,,{},
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement.txt",MISSING,termination_clause,Texas,,,{},
"CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT.txt",AMBIGUOUS,termination_clause,,,,"{""reason"": ""Ambiguous language detected"", ""span"": {""start"": 24974, ""end"": 25785}}",termination of this Agreement. CERTAIN PORTIONS OF THIS EXHIBIT HAVE BEEN OMITTED PURSUANT TO A REQUEST FOR CONFIDENTIAL TREATMENT UNDER RULE 24B-2 UNDER THE SECURITIES EXCHANGE ACT OF 1934. OMISSIONS ARE DESIGNATED [***]. A COMPLETE VERSION OF THIS EXHIBIT HAS BEEN FILED SEPARATELY WITH THE SECURITIES AND EXCHANGE COMMISSION. 9 6.6 Recall. In the event that either Party believes it may be necessa…
"CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT.txt",MISSING,payment_terms,,,,{},
"CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT.txt",MISSING,governing_law,,,,{},
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1.txt,MISSING,payment_terms,,,,{},
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1.txt,MISSING,governing_law,,,,{},
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2.txt,MISSING,payment_terms,,,,{},
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2.txt,MISSING,termination_clause,,,,{},
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2.txt,MISSING,governing_law,,,,{},
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3.txt,MISSING,payment_terms,,,,{},
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3.txt,MISSING,termination_clause,,,,{},
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3.txt,MISSING,governing_law,,,,{},
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,MISSING,governing_law,,,,{},
CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT.txt,MISSING,payment_terms,,,,{},
CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT.txt,MISSING,governing_law,,,,{},
CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement.txt,MISSING,payment_terms,Delaware,,,{},
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT.txt,MISSING,payment_terms,Florida,,,{},
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.txt,MISSING,payment_terms,Delaware,,,{},
"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement.txt",MISSING,payment_terms,United Kingdom,,,{},
Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT.txt,MISSING,payment_terms,,,,{},
Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT.txt,MISSING,termination_clause,,,,{},
Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT.txt,MISSING,governing_law,,,,{},
CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT.txt,MISSING,governing_law,,,1.0,{},
CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement.txt,MISSING,payment_terms,,,,{},
CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement.txt,MISSING,governing_law,,,,{},
CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement.txt,MISSING,payment_terms,the State of New York,,,{},
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement.txt,MISSING,payment_terms,the PRC,,,{},
CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement.txt,MISSING,payment_terms,,,,{},
CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement.txt,MISSING,governing_law,,,,{},
CHIPMOSTECHNOLOGIESBERMUDALTD_04_18_2016-EX-4.72-Strategic Alliance Agreement.txt,MISSING,payment_terms,,,,{},
CHIPMOSTECHNOLOGIESBERMUDALTD_04_18_2016-EX-4.72-Strategic Alliance Agreement.txt,MISSING,governing_law,,,,{},
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement.txt,AMBIGUOUS,termination_clause,the state of Florida,,,"{""reason"": ""Ambiguous language detected"", ""span"": {""start"": 2145, ""end"": 2956}}","TERMINATION. (a) Types of Termination. This Agreement may be terminated: 1. By either Party on provision of seven (7) days written notice to the other Party in case of a Force Majeure Event. 2. Client has the unilateral right to cancel this agreement at any time within a 7-day notice period. Further, Developer can only cancel due to lack of payment. Client will have a 30 day right to cure before a…"
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement.txt,MISSING,payment_terms,the state of Florida,,,{},
CnsPharmaceuticalsInc_20200326_8-K_EX-10.1_12079626_EX-10.1_Development Agreement.txt,MISSING,payment_terms,Texas,,,{},
CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement.txt,MISSING,payment_terms,,,,{},
CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement.txt,MISSING,governing_law,,,,{},
"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",MISSING,payment_terms,United Kingdom,,,{},
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.txt,MISSING,payment_terms,Delaware,,,{},
"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement.txt",MISSING,governing_law,,,,{},
"CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT.txt",MISSING,payment_terms,,,,{},
"CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT.txt",MISSING,governing_law,,,,{},
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.txt,MISSING,payment_terms,,,,{},
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.txt,MISSING,governing_law,,,,{},
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT.txt",MISSING,payment_terms,New York,,,{},
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT.txt,MISSING,payment_terms,Delaware,,,{},
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT.txt,MISSING,payment_terms,the State of California,,,{},
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.txt,MISSING,payment_terms,Delaware,,,{},
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.txt,MISSING,payment_terms,Delaware,,,{},
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT.txt,MISSING,payment_terms,the Commonwealth of Massachusetts without reference to principles of conflicts of law,,,{},
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.txt,MISSING,payment_terms,,,,{},
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.txt,MISSING,governing_law,,,,{},
DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT.txt,MISSING,payment_terms,,,,{},
DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT.txt,MISSING,governing_law,,,,{},
"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT.txt",MISSING,payment_terms,the State of California,,,{},
DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT.txt,MISSING,payment_terms,Delaware,,,{},
"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.txt",MISSING,governing_law,,,,{},
DYNAMEXINC_06_06_1996-EX-10.4-TRANSPORTATION SERVICES AGREEMENT.txt,MISSING,payment_terms,Canada,,,{},
DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT.txt,MISSING,payment_terms,Delaware,,,{},
EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.txt,MISSING,payment_terms,the state where a suit is properly filed under the terms of this paragraph,,,{},
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.txt,MISSING,payment_terms,,,,{},
