doc_id,party_key,governing_law,effective_date,payment_net_days,payment_amount,risk_score,risk_bucket,issues_count,issue_types
AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT.txt,CAPITAL RESOURCES | THE COMPANY AND THE ASSOCIATION IN CONNECTION WITH THE OFFERING OF COMMON STOCK,Delaware,,,,3.0,low,1,MISSING
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement.txt,"BINDING ON BOTH THE PARTIES AND ENFORCEABLE IN ANY JURISDICTION | THE PARTIES IN GOOD FAITH AS PROMPTLY AS POSSIBLE BUT FAILING SUCH AMICABLE SETTLEMENT, SHALL BE DECIDED BY ARBITRATION BY THE ARBITRATION COMMITTEE OF THE INTERNATIONAL CHAMBER OF COMMERCE LOCATED IN SWITZERLAND. 8.2 THE LANGUAGE TO BE USED IN THE ARBITRATION PROCEEDINGS SHALL BE ENGLISH. 8.3 THE AWARD/DECISION OF THE ARBITRATION COMMITTEE SHALL BE FINAL",England,,,,2.0,low,1,AMBIGUOUS
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement.txt,"AIMMUNE THERAPEUTICS | XENCOR, INC",,,,,6.0,medium,2,MISSING
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement.txt,"AIRSPAN NETWORKS INCORPORATED, A COMPANY INCORPORATED UNDER THE LAWS OF THE STATE OF WASHINGTON HAVING ITS PRINCIPAL OFFICE AT 777 108TH AVENUE NE, SUITE 1895, BELLEVUE, WASHINGTON 98004 (""AIRSPAN | GLS LLC",the State of South Dakota,,,,0.0,low,0,
AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT.txt,"AIRSOPURE INTERNATIONAL GROUP, INC., A NEVADA CORPORATION WHOSE PRINCIPAL PLACE OF BUSINESS IS LOCATED AT 15400 KNOLL TRAIL, SUITE 200, DALLAS, TEXAS 75248 (HEREINAFTER ""AIRSOPURE"" OR BY REFERENCE ""WE"", ""US"", ""OUR | YOU",,,,,3.0,low,1,MISSING
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,THE AGENT (A COPY OF WHICH IS ATTACHED HERETO AS EXHIBIT A | THE COMPANY,,,,,6.0,medium,2,MISSING
ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT.txt,"ASSIGNS | GENERAL ELECTRIC CAPITAL CORPORATION, A DELAWARE CORPORATION (TOGETHER WITH ITS SUCCESSORS",Delaware,,,,3.0,low,1,MISSING
ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT.txt,"ALLIANCE INTERIM SAVINGS BANK (THE ""APPLICATION FOR APPROVAL TO MERGE OR CONSOLIDATE | THE BANK",New York,,,,3.0,low,1,MISSING
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.txt,"WPT ENTERPRISES, INC., A DELAWARE CORPORATION, WITH OFFICES LOCATED AT 1920 MAIN STREET, SUITE 1150, IRVINE, CA 92614 (""WPT | ZYNGA INC",Delaware,,,,3.0,low,1,MISSING
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement.txt,"ALLIED ESPORTS INTERNATIONAL | NEWEGG INC. (""NEWEGG""), A DELAWARE CORPORATION",Delaware,,,,3.0,low,1,MISSING
ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT.txt,"NO WAIVER OF COMPLIANCE WITH ANY PROVISION OR CONDITION OF THIS AGREEMENT AND NO CONSENT PROVIDED FOR IN THIS AGREEMENT SHALL BE EFFECTIVE UNLESS EVIDENCED BY A WRITTEN INSTRUMENT EXECUTED BY THE PARTY AGAINST WHOM SUCH WAIVER OR CONSENT IS TO BE EFFECTIVE | THE PARTIES, OR ANY OF THEM, WITH RESPECT TO THE SUBJECT MATTER HEREOF. THIS AGREEMENT MAY BE AMENDED ONLY BY AN AGREEMENT IN WRITING EXECUTED BY THE PARTIES HERETO",,,,,6.0,medium,2,MISSING
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,THE ROYALTIES RECEIVED | THOSE PAYABLE AMOUNTS TO MORE THAN % OF THE ROYALTIES RECEIVED,California,,,,3.0,low,1,MISSING
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT.txt,MICOA | THE RECORDS OF THE AGENCY,,,,,6.0,medium,2,MISSING
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT.txt,"HANOVER DIRECT, INC. (""HDI""), A NEW JERSEY CORPORATION, LOCATED AT 1500 HARBOR BOULEVARD, WEEHAWKEN, NJ 07087 | THE DEERSKIN COMPANIES",,,,,6.0,medium,2,MISSING
ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT.txt,"ANIXA BIOSCIENCES, INC., A DELAWARE CORPORATION, LOCATED AT 3150 ALMADEN EXPRESSWAY, SUITE 250, SAN JOSE, CA 95118, U.S.A. (""ANIXA | ONTOCHEM GMBH",the State of Delaware without regard to the conflict of laws provisions of any jurisdiction,,,,0.0,low,0,
"Antares Pharma, Inc. - Manufacturing Agreement.txt","AMAG PHARMACEUTICALS | ANTARES PHARMA, INC",Delaware,,,,0.0,low,0,
Apollo Endosurgery - Manufacturing and Supply Agreement.txt,"1) APOLLO ENDOSURGERY, DELAWARE CORPORATION HAVING OFFICES AT 1120 S CAPITAL OF TEXAS HIGHWAY #300, AUSTIN, TX 78746 (""APOLLO | 2) ESTABLISHMENT LABS",Delaware,,,,2.0,low,1,AMBIGUOUS
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.txt,ARCA CAPITAL MANAGEMENT | ARCA U.S. TREASURY FUND,Delaware,,,,3.0,low,1,MISSING
ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement.txt,"JACKSONVILLE JAGUARS, LLC, A DELAWARE LIMITED LIABILITY COMPANY (""CLUB | THE ARC GROUP",Delaware,,,,6.0,medium,2,MISSING
ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement.txt,"ARCONIC INC., A CORPORATION ORGANIZED UNDER THE LAWS OF DELAWARE (""LICENSEE | ARCONIC ROLLED PRODUCTS CORP",Delaware,,,,5.0,medium,2,"AMBIGUOUS,MISSING"
"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt","AFI LICENSING LLC | ARMSTRONG FLOORING, INC., A DELAWARE CORPORATION (""SELLER",the State of Delaware,,,,3.0,low,1,MISSING
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement.txt,"AFI LICENSING LLC | ARMSTRONG FLOORING, INC., A DELAWARE CORPORATION (""SELLER",the State of Delaware,,,,3.0,low,1,MISSING
"Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT.txt","ARRAY BIOPHARMA INC., A COMPANY ORGANIZED UNDER THE LAWS OF DELAWARE | HAVING ITS PRINCIPAL PLACE OF BUSINESS AT 3200 WALNUT STREET",Delaware,,,,3.0,low,1,MISSING
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.txt,"ARTARA, INC. LOCATED AT 1 LITTLE WEST 12T H STREET, NEW YORK, NY 10014 (""ARTARA | THE UNIVERSITY OF IOWA",the State of Iowa,,,,3.0,low,1,MISSING
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC..txt",JAMES W. NANTZ III | NANTZ COMMUNICATIONS,,,,,6.0,medium,2,MISSING
ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement.txt,"695014 B.C. LTD. DBA GALAXY TELECOM, HAVING A PRINCIPAL OFFICE AT 200 - 375 WATER STREET, VANCOUVER, BRITISH COLUMBIA V6B 5C6 CANADA (""GALAXY | GALAXY TELNET SRL",Canada,,,,3.0,low,1,MISSING
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT.txt,"REDWATER LLC | TWIN CITIES POWER HOLDINGS, LLC, A MINNESOTA LIMITED LIABILITY COMPANY (THE ""COMPANY",,,,,6.0,medium,2,MISSING
ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT.txt,JOHN MADDEN NAME | LLC,,,,,9.0,medium,3,MISSING
"ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009.txt","THE AGENT (A COPY OF WHICH IS ATTACHED HERETO AS EXHIBIT A) (THE ""ENGAGEMENT LETTER | THE BANK",Illinois,,,,3.0,low,1,MISSING
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT.txt,"ARKANSAS WESTERN PIPELINE COMPANY (""TRANSPORTER""), AN ARKANSAS CORPORATION | ASSOCIATED NATURAL GAS COMPANY",,,,,6.0,medium,2,MISSING
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement.txt,"AT&T MOBILITY LLC | COMMNET WIRELESS, LLC",,,,,6.0,medium,2,MISSING
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement.txt,"AMAZON.COM COMMERCE SERVICES, INC., A DELAWARE CORPORATION (""ACSI | AUDIBLE INC",Delaware,,,,3.0,low,1,MISSING
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT.txt,"AMERICAN UNITED LIFE INSURANCE COMPANY | NATIONWIDE FUND MANAGEMENT LLC (""NATIONWIDE""), ON BEHALF OF NATIONWIDE MUTUAL FUNDS OR ITS SURVIVING ENTITY (""THE TRUST",,,,,8.0,medium,3,"AMBIGUOUS,MISSING"
AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT.txt,"AURA SYSTEMS INC., A DELAWARE CORPORATION (""AURA | ZANOTTI EAST INC",,,,,6.0,medium,2,MISSING
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1.txt,AVIONS DE TRANSPORT REGIONAL | AZUL LINHAS AÉREAS BRASILEIRAS S/A (AS COMPANY,France,,,,0.0,low,0,
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2.txt,AVIONS DE TRANSPORT REGIONAL | AZUL LINHAS AÉREAS BRASILEIRAS S/A,France,,,,0.0,low,0,
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC..txt",BABCOCK & WILCOX ENTERPRISES | THE BABCOCK & WILCOX COMPANY,Delaware,,,,6.0,medium,2,MISSING
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,ASTRONUTRITION.COM | DEEP SYSTEMS,,,,,9.0,medium,3,MISSING
BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT.txt,EL BANCO FINANCIAL CORPORATION | QUICKLINKS,Georgia,,,,3.0,low,1,MISSING
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement.txt","BELLICUM PHARMACEUTICALS | MILTENYI BIOTEC GMBH, A GERMAN CORPORATION HAVING AN ADDRESS AT FRIEDRICH-EBERT-STR. 68, 51429 BERGISCH GLADBACH, GERMANY (HEREINAFTER REFERRED TO AS ""MILTENYI",Germany,,,,0.0,low,0,
"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT.txt","FONTERRA (USA) INC | PREMIER NUTRITION COMPANY, LLC, A DELAWARE LIMITED LIABILITY COMPANY WITH ITS HEADQUARTERS LOCATED AT 1222 67TH STREET, SUITE 210, EMERYVILLE, CA 94608 (""BUYER"" OR ""PNC",the State of Delaware without regard to its conflicts of law principles,,,,2.0,low,1,AMBIGUOUS
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1.txt,"PREMIER NUTRITION CORPORATION (""PREMIER | STREMICKS HERITAGE FOODS, LLC (""HERITAGE""), A DELAWARE LIMITED LIABILITY COMPANY WITH AN ADDRESS OF 4002 WESTMINSTER AVENUE, SANTA ANA, CA 92703",the State of California,2017-07-01,,,0.0,low,0,
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2.txt,"AMENDS THAT CERTAIN MANUFACTURING AGREEMENT BETWEEN HERITAGE AND PREMIER DATED JULY 1 | STREMICK'S HERITAGE FOODS, LLC (""HERITAGE"") PREMIER NUTRITION CORPORATION (""PREMIER"") IS EFFECTIVE AS OF JUNE 11, 2018 (""AMENDMENT EFFECTIVE DATE",,,,,9.0,medium,3,MISSING
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3.txt,"AMENDS THAT CERTAIN MANUFACTURING AGREEMENT BETWEEN HERITAGE AND PREMIER DATED JULY 1 | STREMICK'S HERITAGE FOODS, LLC, (""HERITAGE""), PREMIER NUTRITION CORPORATION (""PREMIER"") IS EFFECTIVE AS OF OCTOBER 1, 2018 (""SECOND AMENDMENT EFFECTIVE DATE",,,,,9.0,medium,3,MISSING
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement4.txt,"AMENDS THAT CERTAIN MANUFACTURING AGREEMENT BETWEEN HERITAGE AND PREMIER DATED JULY 1 | STREMICKS HERITAGE FOODS, LLC (""HERITAGE"") PREMIER NUTRITION CORPORATION (""PREMIER"") IS EFFECTIVE AS OF JULY 3, 2019 (""THIRD AMENDMENT EFFECTIVE DATE",,,,,9.0,medium,3,MISSING
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT.txt","BERKELEY LIGHTS | GINKGO BIOWORKS, INC., A DELAWARE CORPORATION WITH OFFICES LOCATED AT 27 DRYDOCK AVENUE, 8TH FLOOR, BOSTON, MASSACHUSETTS 02210 (""GINKGO",Delaware,,,,3.0,low,1,MISSING
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.txt,"BERKSHIRE BANK | GENO AURIEMMA (""AURIEMMA",Massachusetts,,,,5.0,medium,2,"AMBIGUOUS,MISSING"
BEYONDCOMCORP_08_03_2000-EX-10.2-CO-HOSTING AGREEMENT.txt,"NETWORKS ASSOCIATES, INC., A DELAWARE CORPORATION, DOING BUSINESS AS NETWORK ASSOCIATES, INC., WITH ITS PRINCIPAL PLACE OF BUSINESS AT 3965 FREEDOM CIRCLE, SANTA CLARA, CALIFORNIA 95054 (""NAI | SOFTWARE",Delaware,,,,0.0,low,0,
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT.txt,THE BOARD AT THE START OF EACH CALENDAR YEAR | YOU,United Kingdom,,,,5.0,medium,2,"AMBIGUOUS,MISSING"
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1).txt,"BIOAMBER S | CARGILL, INCORPORATED THROUGH ITS BIO TECHNOLOGY DEVELOPMENT CENTER, HAVING ITS PRINCIPAL PLACE OF BUSINESS AT 15407 MCGINTY ROAD WEST, WAYZATA, MINNESOTA 55391 USA (""CARGILL",,,,,3.0,low,1,MISSING
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment.txt,"BIOAMBER S | CARGILL, INCORPORATED THROUGH ITS BIO TECHNOLOGY DEVELOPMENT CENTER, HAVING ITS PRINCIPAL PLACE OF BUSINESS AT 15407 MCGINTY ROAD WEST, WAYZATA, MINNESOTA 55391 USA (""CARGILL",France,,,,6.0,medium,2,MISSING
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT.txt,"BIOCEPT, INC., A CALIFORNIA CORPORATION HAVING AN ADDRESS OF 5810 NANCY RIDGE DRIVE, SUITE 150, SAN DIEGO, CA 92121 (""BIOCEPT | LIFE TECHNOLOGIES CORPORATION",California,,,,5.0,medium,2,"AMBIGUOUS,MISSING"
BIOFRONTERAAG_04_29_2019-EX-4.17-SUPPLY AGREEMENT.txt,"CUTANEA LIFE SCIENCES, INC., A CORPORATION DULY ORGANIZED | EXISTING UNDER THE LAWS OF THE STATE OF DELAWARE WITH ITS PRINCIPAL PLACE OF BUSINESS AT 1500 LIBERTY RIDGE DRIVE",,,,,5.0,medium,2,"AMBIGUOUS,MISSING"
BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT.txt,"BIOPURE CORPORATION, A DELAWARE CORPORATION (THE ""COMPANY | THE AGENT NAMED ON THE SIGNATURE PAGE HEREOF (THE ""AGENT",Massachusetts,1999-01-05,,,0.0,low,0,
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.txt,"BIZZINGO, INC., A NEVADA CORPORATION WITH OFFICES AT 63 MAIN STREET, SUITE 202, FLEMINGTON, NJ 08822 (""BIZZINGO | JOSEPH THEISMANN",,,,,6.0,medium,2,MISSING
BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT.txt,"SMSA BALLINGER ACQUISITION CORP | SNOTARATOR LLC, A TEXAS LIMITED LIABILITY COMPANY, WITH ITS PRINCIPAL PLACE OF BUSINESS LOCATED AT 2591 DALLAS PARKWAY, SUITE 102, FRISCO, TEXAS 75034 (THE ""COMPANY",the State of Texas,,,,3.0,low,1,MISSING
BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGREEMENT.txt,JOINT FILING AGREEMENT PURSUANT | THE SECURITIES EXCHANGE ACT,,,,,9.0,medium,3,MISSING
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT.txt,"BLACKSTONE / GSO LONG-SHORT CREDIT INCOME FUND, A DELAWARE STATUTORY TRUST (""CLIENT | MELLON INVESTOR SERVICES LLC (OPERATING WITH THE SERVICE NAME BNY MELLON SHAREOWNER SERVICES",Delaware,,,,3.0,low,1,MISSING
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement.txt,"BLOOM ENERGY CORPORATION | DIAMOND STATE GENERATION PARTNERS, LLC",Delaware,,,,3.0,low,1,MISSING
BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement.txt,"BLUEFLY, INC | INTERNATIONAL BUSINESS MACHINES CORPORATION",,,,,6.0,medium,2,MISSING
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT.txt",AGENT | THE HOLDING COMPANY,Illinois,,,,3.0,low,1,MISSING
"BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT.txt","INDEMNITY COULD HAVE BEEN SOUGHT HEREUNDER BY SUCH INDEMNIFIED PARTY UNLESS SUCH SETTLEMENT (I) INCLUDES AN UNCONDITIONAL RELEASE OF SUCH INDEMNIFIED PARTY FROM ALL LIABILITY ON ANY CLAIMS THAT ARE THE SUBJECT MATTER OF SUCH ACTION AND (II) DOES NOT INCLUDE A STATEMENT AS TO | THEM. NO INDEMNIFYING PARTY SHALL, WITHOUT THE PRIOR WRITTEN CONSENT OF THE INDEMNIFIED PARTY, EFFECT ANY SETTLEMENT OF ANY PENDING OR THREATENED ACTION IN RESPECT OF WHICH ANY INDEMNIFIED PARTY IS OR COULD HAVE BEEN A PARTY",Washington,,,,3.0,low,1,MISSING
BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT.txt,"MORTGAGE LOGIC.COM, INC. (""CLIENT""), WITH AN ADDRESS AT TWO VENTURE PLAZA, 2 VENTURE, IRVINE, CALIFORNIA 92618 | TRUELINK",California,,,,3.0,low,1,MISSING
BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT.txt,"BROKERS NATIONAL LIFE ASSURANCE COMPANY | VIRTUAL ITEM PROCESSING SYSTEMS, INC",the State of Oklahoma without regard to conflict of laws,,,,3.0,low,1,MISSING
BOLIVARMININGCORP_05_23_2003-EX-2.1-VISP WEB SITE BUILDING AND HOSTING AGREEMENT.txt,"KINGDOM CONNECT | YOURNETPLUS.COM, INC., A NEW YORK CORPORATION; WITH ITS PRINCIPLE OFFICE LOCATED AT 501 ROUTE 208, MONROE, NY 10950 (""PROVIDER",the state of New York,,,,3.0,low,1,MISSING
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT.txt,"ITS ASSOCIATED CHAPTER 11 DEBTORS IN POSSESSION (COLLECTIVELY | THE BON-TON STORES, INC",,,,,6.0,medium,2,MISSING
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT.txt",THE MEMBERS. ALL NEGOTIATIONS | UNDERSTANDINGS HAVE BEEN INCLUDED IN THIS AGREEMENT,,,,,6.0,medium,2,MISSING
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement.txt,"I3 INTEGRATIVE CREATIVE SOLUTIONS, LLC (""I3 ICS""), A VIRGINIA LIMITED LIABILITY COMPANY, HAVING ITS OFFICES AT 6564 LOISDALE COURT SUITE 1010B, SPRINGFIELD, VA 22150 (""RESELLER | THE COMPANY SET FORTH BELOW (""COMPANY"") (EACH",Virginia,,,,0.0,low,0,
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT.txt,"BW-3 FRANCHISE SYSTEMS, INC. AN OHIO CORPORATION WHICH HAS ITS PRINCIPAL PLACE OF BUSINESS AT 1919 INTERCHANGE TOWER, 600 SOUTH HIGHWAY 169, MINNEAPOLIS, MINNESOTA 55426 (""WE"" OR ""US | __________________________ ________________________________________________________________________________ ________________________________________________________________________________ _______________ (""YOU",,,,,6.0,medium,2,MISSING
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement.txt","CANO PETROLEUM | R. C. BOYD ENTERPRISES, LLC, A TEXAS LIMITED LIABILITY COMPANY, WHOSE PRINCIPAL PLACE OF BUSINESS IS LOCATED AT 2003 NAVASOTA COVE, WESTLAKE, TEXAS, REFERRED TO IN THIS AGREEMENT AS ""COMPANY"" OR ""BOYD",Texas,,,,6.0,medium,2,MISSING
"CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT.txt","CAPSUGEL US, LLC | ITS AFFILIATES WITH AN ADDRESS AT 412 MT",,,,,8.0,medium,3,"AMBIGUOUS,MISSING"
