_doc_id,risk_score,risk_bucket,governing_law,payment_net_days,effective_date,_issues_count,tags
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement.txt,7,medium,the PRC,,,3,law:the PRC;incomplete
CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement.txt,9,high,,,,3,incomplete
CHIPMOSTECHNOLOGIESBERMUDALTD_04_18_2016-EX-4.72-Strategic Alliance Agreement.txt,10,high,,,,4,incomplete
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement.txt,8,high,the state of Florida,,,4,law:the state of Florida;incomplete
CnsPharmaceuticalsInc_20200326_8-K_EX-10.1_12079626_EX-10.1_Development Agreement.txt,10,high,,,,4,incomplete
CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement.txt,10,high,,,,4,incomplete
"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",9,high,,,,3,incomplete
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.txt,9,high,,,,3,incomplete
"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement.txt",7,medium,,,,3,incomplete
"CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT.txt",9,high,,,,3,incomplete
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,4,medium,the State of California,,,2,law:the State of California;incomplete
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.txt,9,high,,,,3,incomplete
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT.txt",9,high,,,,3,incomplete
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT.txt,9,high,,,,3,incomplete
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.txt,6,medium,,,,2,incomplete
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT.txt,7,medium,the State of California,,,3,law:the State of California;incomplete
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.txt,9,high,,,,3,incomplete
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.txt,7,medium,,,,3,incomplete
DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.txt,7,medium,,,,3,incomplete
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.txt,9,high,,,,3,incomplete
DIVERSINETCORP_03_01_2012-EX-4-RESELLER AGREEMENT.txt,5,medium,the province of Ontario,,,3,law:the province of Ontario;incomplete
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT.txt,7,medium,the Commonwealth of Massachusetts without reference to principles of conflicts of law,,,3,law:the Commonwealth of Massachusetts without reference to principles of conflicts of law;incomplete
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.txt,9,high,,,,3,incomplete
DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT.txt,10,high,,,,4,incomplete
"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT.txt",7,medium,the State of California,,,3,law:the State of California;incomplete
DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT.txt,9,high,,,,3,incomplete
"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.txt",7,medium,,,,3,incomplete
DYNAMEXINC_06_06_1996-EX-10.4-TRANSPORTATION SERVICES AGREEMENT.txt,9,high,,,,3,incomplete
DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT.txt,9,high,,,,3,incomplete
EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.txt,7,medium,the state where a suit is properly filed under the terms of this paragraph,,,3,law:the state where a suit is properly filed under the terms of this paragraph;incomplete
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.txt,9,high,,,,3,incomplete
EcoScienceSolutionsInc_20180406_8-K_EX-10.1_11135398_EX-10.1_Sponsorship Agreement.txt,9,high,,,,3,incomplete
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.txt,9,high,,,,3,incomplete
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement.txt,8,high,,,,4,incomplete
ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement.txt,9,high,,,,3,incomplete
ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement.txt,10,high,,,,4,incomplete
"ELFBEAUTY,INC_07_02_2020-EX-10.1-COOPERATION AGREEMENT.txt",9,high,,,,3,incomplete
ElPolloLocoHoldingsInc_20200306_10-K_EX-10.16_12041700_EX-10.16_Development Agreement.txt,7,medium,the state in which the breach occurs,,,3,law:the state in which the breach occurs;incomplete
EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement.txt,9,high,,,,3,incomplete
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.txt,9,high,,,,3,incomplete
EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC..txt,9,high,,,,3,incomplete
EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement.txt,9,high,,,,3,incomplete
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT.txt,9,high,,,,3,incomplete
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT.txt,7,medium,the State of Texas,,,3,law:the State of Texas;incomplete
ENTERPRISEPRODUCTSPARTNERSLP_07_08_1998-EX-10.3-TRANSPORTATION CONTRACT.txt,9,high,,,,3,incomplete
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT.txt,10,high,,,,4,incomplete
ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC ALLIANCE AGREEMENT.txt,9,high,,,,3,incomplete
"ETELOS,INC_03_09_2004-EX-10.8-DISTRIBUTOR AGREEMENT.txt",6,medium,California,,,2,law:California;incomplete
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.txt,9,high,,,,3,incomplete
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.txt,10,high,,,,4,incomplete
EUROPEANMICROHOLDINGSINC_03_06_1998-EX-10.6-DISTRIBUTOR AGREEMENT.txt,9,high,,,,3,incomplete
ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.txt,9,high,,,,3,incomplete
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,9,high,,,,3,incomplete
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_AMENDMENT.txt,12,high,,,,4,incomplete
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_POWEROF.txt,9,high,,,,3,incomplete
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_SECONDAMENDMENT.txt,12,high,,,,4,incomplete
FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement.txt,7,medium,Spain and the language of the process will be Spanish,,,3,law:Spain and the language of the process will be Spanish;incomplete
FIBROGENINC_10_01_2014-EX-10.11-COLLABORATION AGREEMENT.txt,9,high,,,,3,incomplete
"FIDELITYNATIONALINFORMATIONSERVICES,INC_08_05_2009-EX-10.3-INTELLECTUAL PROPERTY AGREEMENT.txt",9,high,,,,3,incomplete
FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT.txt,10,high,,,,4,incomplete
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement.txt",9,high,,,,3,incomplete
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement.txt,9,high,,,,3,incomplete
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.txt,10,high,,,,4,incomplete
"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT.txt",7,medium,the State of Texas,,,3,law:the State of Texas;incomplete
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.txt,7,medium,the State of New York without recourse to its conflicts of law rules,,,3,law:the State of New York without recourse to its conflicts of law rules;incomplete
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.txt,10,high,the State of Florida,,,4,law:the State of Florida;incomplete
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.txt,10,high,,,,4,incomplete
FUSIONPHARMACEUTICALSINC_06_05_2020-EX-10.17-Supply Agreement - FUSION.txt,6,medium,,,,2,incomplete
GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP AGREEMENT.txt,10,high,,,,4,incomplete
GALACTICOMMTECHNOLOGIESINC_11_07_1997-EX-10.46-WEB HOSTING AGREEMENT.txt,12,high,,,,4,incomplete
"GALERATHERAPEUTICS,INC_02_14_2020-EX-99.A-JOINT FILING AGREEMENT.txt",15,high,,,,5,incomplete
GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement.txt,9,high,,,,3,incomplete
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.txt,9,high,,,,3,incomplete
"GIGGLESN_HUGS,INC_06_23_2016-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt",10,high,,,,4,incomplete
GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.txt,7,medium,the State of Florida without regard to conflicts of law provisions,,,3,law:the State of Florida without regard to conflicts of law provisions;incomplete
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT.txt,9,high,,,,3,incomplete
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1.txt,7,medium,,,,3,incomplete
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2.txt,12,high,,,,4,incomplete
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement3.txt,12,high,,,,4,incomplete
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4.txt,12,high,,,,4,incomplete
GOCALLINC_03_30_2000-EX-10.7-Promotion Agreement.txt,9,high,,,,3,incomplete
GOLDRESOURCECORP_12_11_2008-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.txt,9,high,,,,3,incomplete
"GOOSEHEADINSURANCE,INC_04_02_2018-EX-10.6-Franchise Agreement.txt",7,medium,a state other than North Dakota,,,3,law:a state other than North Dakota;incomplete
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.txt,9,high,,,,3,incomplete
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement.txt,9,high,,,,3,incomplete
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.8_11951679_EX-10.8_Service Agreement.txt,9,high,,,,3,incomplete
GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT.txt,6,medium,,,,2,incomplete
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",9,high,,,,3,incomplete
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.txt,9,high,,,,3,incomplete
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,15,high,,,,5,incomplete
"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC..txt",10,high,,,,4,incomplete
GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.txt,10,high,,,,4,incomplete
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,10,high,the State of Delaware,,,4,law:the State of Delaware;incomplete
"GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT.txt",7,medium,the State of New York without regard to principles of conflicts of laws that would result in the application of the law of any other jurisdiction,,,3,law:the State of New York without regard to principles of conflicts of laws that would result in the application of the law of any other jurisdiction;incomplete
"HALITRON,INC_03_01_2005-EX-10.15-SPONSORSHIP AND DEVELOPMENT AGREEMENT.txt",7,medium,the State of Arizona applicable to agreements fully executed and performed therein,,,3,law:the State of Arizona applicable to agreements fully executed and performed therein;incomplete
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.txt,10,high,,,,4,incomplete
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT.txt",10,high,,,,4,incomplete
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement.txt,5,medium,the State of New York and all disputes and controversies arising out of or in connection with the Agreement shall be brought exclusively before the competent courts in New York County,,,3,law:the State of New York and all disputes and controversies arising out of or in connection with the Agreement shall be brought exclusively before the competent courts in New York County;incomplete
HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement.txt,10,high,,,,4,incomplete
HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT (1).txt,6,medium,,,,2,incomplete
HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT - Escrow Agreement.txt,10,high,,,,4,incomplete
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement.txt",9,high,,,,3,incomplete
HerImports_20161018_8-KA_EX-10.14_9765707_EX-10.14_Maintenance Agreement.txt,10,high,the State of Nevada,,,4,law:the State of Nevada;incomplete
"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT.txt",9,high,,,,3,incomplete
